questions,output
"Hey, I think my mom who's like 74, she been having somethin wrong down there, like she says somethin feels off but she won't tell me exactly what. She keeps saying she's fine but I know she's not. She also said her chest bone area hurts some times, but she don't wanna go to doctor or nothing. Should I be worried? Is this serious? I don't know what to do, she don't wanna see nobody but I think she need help or somethin. Thanks.","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Internal Medicine"",
    ""Geriatrics""
  ],
  ""symptoms"": [
    ""pain in chest bone area""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""High""
}"
"My 4-year-old has been taking amoxicillin for a week now and I noticed her rash seems worse. Is that normal, or should I be worried? Thanks.","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Dermatology"",
    ""Allergy & Immunology""
  ],
  ""symptoms"": [
    ""rash""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"so my 4yo has been waking up crying at night lately like 2-3 times a week. she says her tummy hurts but no vomit or diarrhea. no fever either. she's off her usual snacks rn, eating mostly carbs. she's also been a bit more irritable during the day. is it maybe burn or just growth pains? should I be worried or just wait it out? thx","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Gastroenterology"",
    ""Mental Health""
  ],
  ""symptoms"": [
    ""tummy pain"",
    ""waking up crying"",
    ""irritability""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"my 4-year-old has been waking up in the middle of the night crying lately, is that normal?","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Sleep Medicine"",
    ""Mental Health""
  ],
  ""symptoms"": [
    ""crying""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"Hey doc, so my back been hurting more than usual and I don't know what I did. It's like a dull ache but sometimes sharp. I was at my nephew's birthday party and was lifting a box but I don't think I hurt myself. Anyway, I feel kinda stiff and sore now. Do you think I should come in or just rest?","{
  ""department"": ""Orthopedics"",
  ""accepted_department"": [
    ""Orthopedics"",
    ""Physical Therapy"",
    ""Rheumatology""
  ],
  ""symptoms"": [
    ""back pain"",
    ""stiffness"",
    ""soreness""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"Hey doc, my mom who is 74 been saying her chest bone area hurts some but I dunno if it's serious or just old age. She keeps saying she's fine but I can tell she not. She has high blood pressure and takes pills but she won't go to no doctor. I was at her house when she complain this morning. Should I be worried or is it nothing? Thank you for your time.","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Internal Medicine"",
    ""Geriatrics""
  ],
  ""symptoms"": [
    ""chest bone area hurts""
  ],
  ""condition"": ""Hypertension"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
"so my back pain got worse and now i feel dizzy n sick, i was at my daughters game n just felt bad all sudden. idk if its serious or just me bein weak but pls what should i do, im scared it might be somethin bad.","{
  ""department"": ""Primary Care"",
  ""accepted_department"": [
    ""Primary Care"",
    ""Orthopedics"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""back pain"",
    ""dizziness"",
    ""nausea""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Scared"",
  ""urgency_level"": ""Medium""
}"
my 4yo has been waking up alot at night crying lately is that normal or should i worry?,"{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Sleep Medicine"",
    ""Mental Health""
  ],
  ""symptoms"": [
    ""waking up at night"",
    ""crying""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
"so my 8 yr old has been complaining about her tummy pain off and on for like 2 weeks now but it’s not real bad, just annoying. she’s eating normal and no fever. should i be worried or just keep an eye on it? feel kinda helpless bc no clue what this is nvm if i should bring her in or what to do. thx","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Gastroenterology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""tummy pain""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Helpless"",
  ""urgency_level"": ""Medium""
}"
"my daughter 4yo keeps scratching her ear w/ no temp or fussing, is that normal or should i be worried?","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""ENT"",
    ""Dermatology""
  ],
  ""symptoms"": [
    ""scratching ear""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
my dad (74) took his blood pressure pill yesterday and today he’s feeling super dizzy and kind of out of it does that happen often? he’s already been real tired lately and im worried idk if it’s normal or should i call anyone?,"{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Geriatrics"",
    ""Emergency Medicine""
  ],
  ""symptoms"": [
    ""dizziness"",
    ""fatigue""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
Is it normal for my 4-year-old to sometimes wake up crying and seem a bit tired during the day?,"{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Sleep Medicine"",
    ""Mental Health""
  ],
  ""symptoms"": [
    ""crying"",
    ""tiredness""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Low""
}"
"My 4-year-old has been waking up sweaty every night for the past week, is that normal?","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Internal Medicine"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""sweating""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"my 4 year old keeps waking up at night crying and holding his tummy, it looks swollen sometimes and he dun want to eat much. I don’t know if it’s serious or just a bug. what do i do?","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Gastroenterology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""crying"",
    ""tummy pain"",
    ""swollen tummy"",
    ""lack of appetite""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"hey doc so my 8 year old woke up w/ a super red and puffy eye today, looks kinda swollen but she says it doesn’t hurt. idk if it’s an allergy or something more serious? should I be worried or just wait it out? last time she had a similar thing it went away fast but this looks worse. pls let me know what I should do, thx.","{
  ""department"": ""Ophthalmology"",
  ""accepted_department"": [
    ""Ophthalmology"",
    ""Allergy & Immunology"",
    ""Pediatrics""
  ],
  ""symptoms"": [
    ""red and puffy eye"",
    ""swollen eye""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
My 4-year-old has been taking Tylenol for a few days now and today I noticed her rash looks worse and she’s having trouble breathing. Is this normal or should I take her to the ER? Please help!!,"{
  ""department"": ""Emergency Medicine"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Dermatology"",
    ""Pulmonology""
  ],
  ""symptoms"": [
    ""rash"",
    ""trouble breathing""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Anxious"",
  ""urgency_level"": ""High""
}"
"My 4-year-old has had a persistent cough for over two weeks now. It’s not severe, but it keeps bothering him day and night. I’ve noticed he’s a little more tired than usual too. Should I be worried or see the doctor again? Thanks for your advice.","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Pulmonology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""persistent cough"",
    ""tiredness""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"hey, my dad's been taking his atenolol for high blood pressure and lately he's been feeling really dizzy and faint when he stands up. he's also been having some headaches. is that normal or should I be worried?","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Neurology"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""dizziness"",
    ""faintness"",
    ""headaches""
  ],
  ""condition"": ""Hypertension"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
"so I've been noticing really dry skin on my hands and some cracks that won't heal, even though I moisturize regularly. it's been like this for a few weeks now, and it sometimes itches a bit. just wondering if I should do anything about it or if it's something I should see someone about. no changes in soap or anything, so not sure what caused it.","{
  ""department"": ""Dermatology"",
  ""accepted_department"": [
    ""Dermatology"",
    ""Allergy & Immunology"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""dry skin"",
    ""cracks"",
    ""itching""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Unsure"",
  ""urgency_level"": ""Medium""
}"
"I never had this before—my left hand feels numb and tingly randomly, and it’s been like this for a few hours. Could it be related to my neck pain?","{
  ""department"": ""Neurology"",
  ""accepted_department"": [
    ""Neurology"",
    ""Orthopedics"",
    ""Pain Management""
  ],
  ""symptoms"": [
    ""numbness"",
    ""tingling"",
    ""neck pain""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"hey, my wife keeps feeling tired all the time even when she sleeps good, should I be worried?","{
  ""department"": ""Internal Medicine"",
  ""accepted_department"": [
    ""Internal Medicine"",
    ""Primary Care"",
    ""Endocrinology""
  ],
  ""symptoms"": [
    ""tiredness""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
"My wife has been having this weird feeling in her tummy and sometimes she says her stomache hurts, is that normal?","{
  ""department"": ""Gastroenterology"",
  ""accepted_department"": [
    ""Gastroenterology"",
    ""Internal Medicine"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""weird feeling in tummy"",
    ""stomach pain""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
so ive been having these weird dizzy spells sometimes when i stand up fast or bloat after eating. its not super bad but enough to make me feel off for a bit. i dunno if its normal or if i should see someone. its been like this last couple weeks. thx,"{
  ""department"": ""Neurology"",
  ""accepted_department"": [
    ""Neurology"",
    ""Gastroenterology"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""dizzy spells"",
    ""bloating""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Unsure"",
  ""urgency_level"": ""Medium""
}"
Are intermittent palpitations that radiate to my left scapula considered normal?,"{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Internal Medicine"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""palpitations"",
    ""pain in left scapula""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
is it okay to take my antidepressant with my migraine medicine?,"{
  ""department"": ""Neurology"",
  ""accepted_department"": [
    ""Mental Health"",
    ""Neurology"",
    ""Pharmacy""
  ],
  ""symptoms"": [
    ""migraine""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Unsure"",
  ""urgency_level"": ""Medium""
}"
"Hey doc, my wife been having this ache in her chest bone area and she says it hurts sometimes when she breathes. She’s been like this a couple weeks but it come and go. She says she not feeling good but she don’t want to bother nobody. Anyway, do you think she should see somebody soon or it’s nothing? I was at her soccer game when she complained, she’s only 43.","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Pulmonology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""ache in chest"",
    ""pain when breathing""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
"my dad takes lipitor but lately hes been winey about muscle aches, is that normal? should he stop taking it? hes 81 and already has some joint issues idk if thats related or not thx","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Rheumatology"",
    ""Geriatrics""
  ],
  ""symptoms"": [
    ""muscle aches""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
Is it safe to stop my blood pressure medication if I’ve been feeling dizzy more often?,"{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Primary Care"",
    ""Endocrinology""
  ],
  ""symptoms"": [
    ""dizziness""
  ],
  ""condition"": ""Hypertension"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
so rn my hand has been really swollen and painful 4 like 3 days now idk what caused it it just suddenly got worse and now it’s all puffy n red. i dont think there’s a cut or anything so idk if i should just wait or see u bc im kinda freaking out thx,"{
  ""department"": ""Orthopedics"",
  ""accepted_department"": [
    ""Orthopedics"",
    ""Rheumatology"",
    ""Emergency Medicine""
  ],
  ""symptoms"": [
    ""swollen hand"",
    ""pain"",
    ""puffy"",
    ""red""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Anxious"",
  ""urgency_level"": ""Medium""
}"
"hey doc, i started taking lisinopril last month but ive been getting a weird metallic taste in my mouth rn since a couple days ago. is that normal?","{
  ""department"": ""Pharmacy"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Pharmacy"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""metallic taste""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"I've been dealing with intermittent palpitations that started about three weeks ago. They usually last for a few seconds but can occur multiple times a day, sometimes radiating to my left scapula. No chest pain or dizziness, but the episodes are increasingly frequent and disruptive. I've also noticed some paresthesia in the ulnar distribution during these episodes. My EKG from last month showed borderline sinus tachycardia, and my Holter monitor was normal. I’m frustrated that this hasn't been thoroughly evaluated yet—I've already sent multiple messages and had minimal response. Can you please advise if I need further testing or medication adjustments? Thank you.","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Neurology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""palpitations"",
    ""paresthesia""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Frustrated"",
  ""urgency_level"": ""Medium""
}"
"hey doc, my tummy feels funny sometimes and I get kinda tired are these normal?","{
  ""department"": ""Gastroenterology"",
  ""accepted_department"": [
    ""Gastroenterology"",
    ""Primary Care"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""tummy feels funny"",
    ""tiredness""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Low""
}"
my daughter 4 just seems like she has a really runny nose and sneezes alot she also kinda looks tired but not sure if its normal or somethin else do u think she needs to see someone?,"{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""ENT"",
    ""Allergy & Immunology""
  ],
  ""symptoms"": [
    ""runny nose"",
    ""sneezing"",
    ""tiredness""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Uncertain"",
  ""urgency_level"": ""Medium""
}"
My mom who is 74 been feeling real tired and she keeps saying her chest bone area hurts when she breathes bad sometimes. She refuses to go to doctor or ER but I worry somethings not right. She also says she got sugar acting up more than usual. She’s been like this few days. What do I do?,"{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Endocrinology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""tiredness"",
    ""chest pain"",
    ""breathing difficulties"",
    ""blood sugar fluctuations""
  ],
  ""condition"": ""Diabetes"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""High""
}"
"So, my 4-year-old suddenly woke up yesterday with a faint rash on her arms and some mild swelling around her ankles. No fever or other symptoms, but I noticed her fussing more than usual and scratching the rash a lot. She’s never had anything like this before, and I can't find any obvious cause. She had a mild cold last week, but otherwise no recent allergies or new foods. Just surprised it appeared so quickly and not sure if I should bring her in or if it's something to watch.","{
  ""department"": ""Dermatology"",
  ""accepted_department"": [
    ""Dermatology"",
    ""Pediatrics"",
    ""Allergy & Immunology""
  ],
  ""symptoms"": [
    ""faint rash"",
    ""mild swelling"",
    ""fussing"",
    ""scratching""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"My wife been having some kind of weird pain down there, like something feels off but she says it's not bad, just different. I was reading about maybe it's her stomache or her lady parts but I dunno. She had a little blood last week but she say it's normal. She been tired alot too, but she always tired. I just wanna know if she should see someone or if this happens to other women. Thanks.","{
  ""department"": ""OB/GYN"",
  ""accepted_department"": [
    ""OB/GYN"",
    ""Internal Medicine"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""pain"",
    ""fatigue"",
    ""bleeding""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
so lately my back hurts when I bend down or sit for long time idk y it hurts like a dull ache and it’s been goin on couple weeks now and I also been feeling tired more than usual. is it serious or is this normal? pls help thx,"{
  ""department"": ""Orthopedics"",
  ""accepted_department"": [
    ""Orthopedics"",
    ""Rheumatology"",
    ""Physical Therapy""
  ],
  ""symptoms"": [
    ""back pain"",
    ""fatigue""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"my dad keeps saying his stomach hurts but he wont go see anyone, is that normal?","{
  ""department"": ""Gastroenterology"",
  ""accepted_department"": [
    ""Gastroenterology"",
    ""Primary Care"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""stomach pain""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"Hey doctor, my mom who is 74 keeps saying she feels somethin off down there and she got a lot of pain in her stomach but she won't go to the hospital. I don’t know what to do. She says she’s fine but I think somethin bad. Please help!!","{
  ""department"": ""Gastroenterology"",
  ""accepted_department"": [
    ""Gastroenterology"",
    ""Primary Care"",
    ""Urgent Care""
  ],
  ""symptoms"": [
    ""pain in stomach""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""High""
}"
"hey doc, my dad who is 81 has been really confused lately, like hes forgetting stuff he just read or said yesterday. he's also extra tired and keeps falling asleep during the day. hes on blood pressure meds and cholesterol pills but he keeps saying he feels fine even tho I can tell hes worse. idk what to do bc he refuses to go to ER or see anyone. is this normal at his age or should I push harder? thx","{
  ""department"": ""Geriatrics"",
  ""accepted_department"": [
    ""Geriatrics"",
    ""Neurology"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""confusion"",
    ""increased tiredness"",
    ""excessive daytime sleepiness""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""High""
}"
any idea why i sometimes get weird paresthesia in the ulnar distribution when I’m under stress?,"{
  ""department"": ""Neurology"",
  ""accepted_department"": [
    ""Neurology"",
    ""Mental Health"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""paresthesia""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Medium""
}"
so I notice my daughter has been complaining her tummy hurts but she's not throwing up or anything just kinda fussy and stuff. it kinda comes and goes but today she was crying more than usual. she's 4 years old and I was thinking maybe it's just a stomach ache but I dunno if I should take her to the doctor or what. also she has been a little more sleepy than normal but I think that's just cause she didn't sleep good last night. should I be worried or is this normal?,"{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Gastroenterology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""stomach pain"",
    ""fussiness"",
    ""crying"",
    ""increased sleepiness""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"my mom who's 74 has been having weird chest sensations when she moves suddenly, is that normal?","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Internal Medicine"",
    ""Geriatrics""
  ],
  ""symptoms"": [
    ""weird chest sensations""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"My partner, 52, has been experiencing intermittent palpitations over the past month, usually occurring during rest and occasionally radiating to the left scapula. They deny chest pain or shortness of breath but mention a sensation of a skipped beat followed by a fluttering feeling. He has a history of well-controlled hypertension on lisinopril 10 mg daily. Last week, his ECG showed occasional premature atrial contractions, but Holter monitoring wasn't performed. He's curious whether these symptoms could indicate an arrhythmia or if further testing is recommended given his prior ECG findings. Thanks for your guidance.","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Internal Medicine"",
    ""Emergency Medicine""
  ],
  ""symptoms"": [
    ""palpitations"",
    ""sensation of a skipped beat"",
    ""fluttering feeling""
  ],
  ""condition"": ""Hypertension"",
  ""sentiment"": ""Curious"",
  ""urgency_level"": ""Medium""
}"
"My mom, she keeps complainin that she feels real weak and her stomach hurtin some. She say's she not hungry and she looks pale. She refuse to go to doc but I am worried. She is 74 and got sugar acting up sometimes. Thank you.","{
  ""department"": ""Internal Medicine"",
  ""accepted_department"": [
    ""Internal Medicine"",
    ""Geriatrics"",
    ""Endocrinology""
  ],
  ""symptoms"": [
    ""weakness"",
    ""stomach pain"",
    ""lack of appetite"",
    ""pallor""
  ],
  ""condition"": ""Diabetes"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
"my dad keeps waking up coughing at night for like 2 weeks, is that normal?","{
  ""department"": ""Pulmonology"",
  ""accepted_department"": [
    ""Pulmonology"",
    ""Primary Care"",
    ""Sleep Medicine""
  ],
  ""symptoms"": [
    ""coughing at night""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"My husband has been feeling extremely tired and achy all over for the past week. He says he has no energy and just wants to sleep all the time. He’s also had a slight fever but no chills. I’ve tried giving him fluids and rest, but he doesn’t seem to be getting better. Should we come in to be checked or do you think it’s something he can wait out? Thanks for your advice.","{
  ""department"": ""Internal Medicine"",
  ""accepted_department"": [
    ""Internal Medicine"",
    ""Primary Care"",
    ""Infectious Disease""
  ],
  ""symptoms"": [
    ""tired"",
    ""achy"",
    ""no energy"",
    ""slight fever""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
so i been having this pain in my side down low for like a week now and its kinda super annoying idk if it’s something serious bc i also feel like i be going pee a lot but not a lot comes out idk if i should come in or what or if its bc of somthing i ate or somthing else idk pls tell me what to do thx,"{
  ""department"": ""Urology"",
  ""accepted_department"": [
    ""Urology"",
    ""Primary Care"",
    ""Gastroenterology""
  ],
  ""symptoms"": [
    ""pain in side"",
    ""frequent urination""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Anxious"",
  ""urgency_level"": ""Medium""
}"
Is it normal for my partner to feel numbness in his left hand after exercising?,"{
  ""department"": ""Neurology"",
  ""accepted_department"": [
    ""Neurology"",
    ""Cardiology"",
    ""Sports Medicine""
  ],
  ""symptoms"": [
    ""numbness in left hand""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"Hey, I noticed my skin on my arms has become a bit rashy and itchy over the past couple of days. It’s not painful, but I was surprised since I don’t remember coming into contact with anything new. Do you think I should come in or just try some lotion? Thanks for your advice.","{
  ""department"": ""Dermatology"",
  ""accepted_department"": [
    ""Dermatology"",
    ""Allergy & Immunology"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""rash"",
    ""itchiness""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Uncertain"",
  ""urgency_level"": ""Medium""
}"
"my dad's been having these weird episodes where he feels dizzy, all of a sudden he turns pale n says there's like a strange taste in his mouth then he gets this rapid heartbeat for a few mins. he's 78, hx of afib but he's been stable rn. last week we did his blood work and everything was fine tho. he's also been complaining of tingling in his left hand n occasional chest tightness that comes n goes. I dunno if I should get him to ER rn or just wait for his next appt? pls let me know what to do asap!!","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Neurology"",
    ""Emergency Medicine""
  ],
  ""symptoms"": [
    ""dizziness"",
    ""paleness"",
    ""strange taste in mouth"",
    ""rapid heartbeat"",
    ""tingling in left hand"",
    ""occasional chest tightness""
  ],
  ""condition"": ""Atrial Fibrillation"",
  ""sentiment"": ""Anxious"",
  ""urgency_level"": ""High""
}"
"My 4-year-old has had a runny nose for 5 days, is that normal?","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""ENT"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""runny nose""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
my stomach been hurting on and off and i feel real tired all the time idk what this be bc i ain’t changed my diet or nothing,"{
  ""department"": ""Gastroenterology"",
  ""accepted_department"": [
    ""Gastroenterology"",
    ""Internal Medicine"",
    ""Primary Care""
  ],
  ""symptoms"": [
    ""stomach pain"",
    ""fatigue""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
"My 4-year-old's cough has been bothering her for a few weeks now, and it just doesn’t seem to get better. She’s been more tired than usual and has a little runny nose. We saw her last month, but I’m worried something else might be going on. Do you think we should bring her in again or try anything different? Thanks for your time.","{
  ""department"": ""Pediatrics"",
  ""accepted_department"": [
    ""Pediatrics"",
    ""Pulmonology"",
    ""Allergy & Immunology""
  ],
  ""symptoms"": [
    ""cough"",
    ""tiredness"",
    ""runny nose""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""Medium""
}"
"So my partner, he's 45, has been having these weird intermittent palpitations for about a week now. They last maybe 10-15 seconds, feel like a skipping or fluttering, and sometimes radiate to the left scapula. No chest pain or dyspnea, but he's also had some mild paresthesia in the ulnar distribution on and off. He's got a history of hypertension controlled on lisinopril 10 mg daily, and no recent changes in meds. Prior Holter was clean a year ago. Anyway, should I be worried? Is this something that could be serious like arrhythmia or even cancer? Should he get urgent evaluation or just follow up with his primary? I'm probably overthinking but it's stressing him out, and I’d appreciate your input.","{
  ""department"": ""Cardiology"",
  ""accepted_department"": [
    ""Cardiology"",
    ""Primary Care"",
    ""Internal Medicine""
  ],
  ""symptoms"": [
    ""palpitations"",
    ""paresthesia""
  ],
  ""condition"": ""Hypertension"",
  ""sentiment"": ""Anxious"",
  ""urgency_level"": ""Medium""
}"
"my husband's been feeling real tired and he keeps sayin his back hurt like all the time. he also looks more pale than usual. I was at his work last week when he was actin weird like he was gonna fall down. I don't know what to do, it's been like this a couple days. Please help!!","{
  ""department"": ""Internal Medicine"",
  ""accepted_department"": [
    ""Internal Medicine"",
    ""Primary Care"",
    ""Neurology""
  ],
  ""symptoms"": [
    ""tiredness"",
    ""back pain"",
    ""pallor""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Worried"",
  ""urgency_level"": ""High""
}"
"hey doc i been feeling real dizzy and my head hurts sometimes, is that normal?","{
  ""department"": ""Neurology"",
  ""accepted_department"": [
    ""Neurology"",
    ""Primary Care"",
    ""Emergency Medicine""
  ],
  ""symptoms"": [
    ""dizziness"",
    ""headache""
  ],
  ""condition"": ""Unknown"",
  ""sentiment"": ""Concerned"",
  ""urgency_level"": ""Medium""
}"
